Gene Symbol,GSM1559340,GSM1559311,GSM1559333,GSM1559305,GSM1559326,GSM1559353,GSM1559360,GSM1559329,GSM1559335,GSM1559366,GSM1559319,GSM1559341,GSM1559348,GSM1559322,GSM1559362,GSM1559371,GSM1559301,GSM1559368,GSM1559334,GSM1559349,GSM1559355,GSM1559323,GSM1559363,GSM1559307,GSM1559343,GSM1559310,GSM1559317,GSM1559313,GSM1559332,GSM1559308,GSM1559351,GSM1559365,GSM1559303,GSM1559304,GSM1559347,GSM1559338,GSM1559352,GSM1559361,GSM1559373,GSM1559312,GSM1559330
SCARB1,6.369583177429804,7.10881536060581,6.942945970070729,7.178770418899413,7.014449325972794,6.680357237886236,7.185318629117424,6.653608998990985,6.743932251427192,6.606658602832977,7.080443943738926,6.922857212871664,6.911310527996809,7.16497077646049,6.87270961349166,6.98824960800745,6.633160778650407,7.264281377057382,7.300907241933122,6.431166827529114,7.669035676683047,6.771838487845455,6.924121081311052,6.749647563171851,7.242816400171198,6.432196357283256,6.91964201829109,7.086826045935911,6.698047843010931,7.0514916610098295,7.416901067532722,7.214274455273403,6.591911395969534,7.132605967447598,7.3874586765614625,6.719867240202282,6.337940580695842,7.089757985848898,6.80236288942063,6.911404064755104,6.43812328960329
FAM83E,6.25675806477969,6.41999801556221,6.82279724611029,7.02209251413466,6.25998735996622,6.41513029343457,6.8920946956344,5.66023685408749,5.96853673724449,6.00917290333456,6.57933974437095,6.15662522348345,6.60177691060327,6.46989711724511,6.40411196594493,6.25728698134925,6.12169253571788,6.19813680246369,6.20871101686381,6.33722870491449,7.16087365078253,6.51609633051396,6.27772762613298,6.04631239664576,6.88426276030466,6.54256006948037,6.83716521723995,7.05075193443649,6.16519105566952,6.39388094735294,6.15026505714949,7.08653571341468,7.43109869355977,6.07745287004954,6.45876589082995,6.42117112966533,6.41398092111697,6.57064490195739,6.21000580806436,5.67465176858195,6.42001820194875
PLXDC1,7.405891542574413,7.168402110488407,6.9007493122918335,6.939289890553586,7.265569267674547,7.462489211140642,7.251032212130316,7.51425992921414,7.688288010417989,7.312716995283093,8.30399534570981,7.123678606353354,6.654214657083987,8.339143818125454,7.690183394402807,7.748503622621922,7.811257045064423,7.547028377562071,7.00585197659203,7.1803417343229405,6.8843389950086005,7.235644471066734,6.7146956914389095,7.843818869819477,6.979023860327463,7.110763193468469,7.10046003010115,7.121501307157453,7.486744921230404,6.930751602099947,6.769342548736226,7.14774015230392,6.642689616552193,7.381817287700836,6.903942897767067,6.762956560565134,7.232504990446894,7.1009708516396834,7.951712872812664,7.153563045323256,7.208917073476386
HIC2,6.798833570261378,6.803039668980755,6.86554919021322,7.151788283264775,6.973021494697898,7.291590335369955,6.681857435180797,7.661399820337657,6.6823726236172325,7.225218830197376,7.213379444129052,7.107409229199417,6.967544817142975,6.754350756002783,7.332640581264178,7.062886715075432,7.34103352458113,8.412301948464485,7.461869558673875,7.00891685981385,7.053927433809743,7.20182645717568,8.074448935756209,7.096589816372117,6.837624259060518,6.975557515500455,6.750723143642345,6.61914711718084,7.587856251473375,6.686711253547725,6.982100214979245,6.905802505810636,7.585730231993618,7.340263328048975,6.5531471574750775,6.979688611269452,7.1903886273460325,6.963422144827702,6.74049426102982,7.255688321422878,7.024301303080168
C2orf68,6.784573320681343,6.965212161087715,8.17157036485481,7.553119547780213,7.438767687659678,7.462488385182596,7.933181216187605,7.42223633835842,7.727432147538683,7.433000441359508,7.702148990706592,7.711162075235382,7.705758963446567,7.710422555723721,8.793571188953404,8.631326754037508,7.089763819600252,8.13782355505328,7.767552230112782,7.819004484954993,7.484136461206828,7.520430362959734,7.52455022092236,7.17094983574945,9.207500903311027,8.014446412566695,8.466919908736555,7.671884072081919,7.30936970928267,7.470806412318007,6.890632652060807,6.9539481842911695,7.734863950717577,7.818744948982175,7.67261021331073,8.102677559596792,8.518860855487763,7.487355743296595,7.219340961990127,9.259772816210903,8.133347293058328
HMGXB4,9.022273424239003,8.85733934511949,9.19905639883854,9.526370227066105,8.710879320486875,8.631300555938214,8.928051969668035,8.809800242540385,8.574488182035655,9.48065178322728,8.65796530338626,9.227190090283166,8.16437600380012,8.87960507657203,8.99763946592941,9.28742815979726,9.492868820801055,9.286792701316015,9.215198617016815,8.84222709469479,8.80824320472108,9.112080269774417,9.21043292478878,8.424159046120586,8.624117803316736,8.927346159123765,8.871454969169289,8.611388358856216,8.626871887602455,8.67842528146409,8.82599541256352,8.950328925469865,9.21938889449596,8.959798773326515,8.536672105287964,8.747150589445031,9.680112002097484,8.880781200547084,9.173699807285235,8.642816702563335,9.38982732062475
RMDN3,10.2609921205338,9.99779052129353,9.64527949730096,9.90726300799407,9.8753854766824,9.5435170639154,9.97568303055831,10.1944540593136,10.0972450172334,8.70028952124903,10.0068901940501,9.75535696793939,10.1658217931685,10.238032311334,10.3053432124551,9.43972927681464,9.29744241631447,9.1616383952335,10.219064585652,10.6443781047916,9.72341700537526,9.73316472199591,9.56370250151113,10.1308287725317,9.88094405402104,9.93046706833503,8.97501400107753,9.82583215425698,9.35129411427179,10.0276442725578,9.17172631233382,9.89498287434346,10.6360557404865,9.35694685862261,9.99431857761487,9.13433443297446,10.5258888432723,9.67993428497996,9.64559022592674,9.83299607998876,9.49970080996731
FOXK2,7.032054929216288,7.622347489127173,7.594317328965518,7.82501052763638,7.360715878232881,7.786111608605232,7.673102219027378,7.123778345750573,7.535657674185868,7.370916692621245,7.488640979370205,7.40078115072573,7.796055774077658,7.2239499373984755,7.159736087414908,7.543531366968613,7.336741962638361,7.536154551524754,7.495937705836989,7.702045368312539,7.264657954242677,7.122042494126272,7.428918028590496,7.308857715219404,7.325027491538484,7.057522993985993,7.553100266453173,7.256707244853865,7.751488854111195,7.056579844408516,7.005596543410313,7.064428863060096,7.316555407806752,7.096567469830977,7.419251588201823,7.519808566636503,7.32336996439721,7.726123358841369,7.454251212726978,7.130760705213064,7.617843725875736
CLK4,7.217754681158045,6.24890648647039,7.533293181052763,6.5704445632820425,6.730602274966357,6.652321044745031,6.53948445660496,6.32648471376848,7.680788621571464,6.553433683526415,7.23335750182843,6.799901545704968,6.72825687069287,6.6482208435213295,6.3461628084489705,6.478881822219862,6.371036193569625,6.368238468693237,7.400346470821182,6.7305324570501375,7.000108114285788,6.960713971425288,6.809498262919718,5.793344684629428,7.6311607414295,6.79580612918517,6.584904497992622,6.96543044418207,6.089986858249235,7.575840126606715,6.178650381761983,6.772731081642183,7.686934040433025,6.187448956682225,6.125342758544225,6.685029959124632,7.677039064810192,6.278095914236065,6.689620535671445,6.893529287351438,7.060949799157427
GOSR2,7.553398287444052,7.260164088637186,7.665634061143048,7.400912630133533,7.694929710263158,7.087501451128784,7.577356754692031,7.507381671512206,7.177163279117995,7.183358821704179,7.731733584066932,7.615390996512064,7.201175566174269,7.578118333389696,7.415478607196508,7.760622558821431,7.546546577658152,7.651073124961844,7.293303514594497,7.251285807592999,7.370158151167015,7.22237745548744,7.36624784484709,7.541460748941802,7.205035026211569,7.24667060231608,7.306871373151365,7.471048628411101,7.306094878946101,7.17730141394577,7.091210336526757,7.171897911202709,7.201808061410698,7.310802825862164,7.14134700176025,7.6357993541164255,7.639013724256685,7.376639592424703,7.433355076704331,7.482223636226503,7.413924801173307
