"","logFC","AveExpr","t","P.Value","adj.P.Val","B","signif_logFC1","signif_logFC2","signif_logFC3","Gene.Symbol","signif"
"SLPI",-0.0347350270560882,12.8144160086906,-0.076244994312667,0.939579200330955,0.996863708343732,-5.05572940498383,FALSE,FALSE,FALSE,"SLPI",FALSE
"AP1G1",-0.02316032324241,8.52086320026092,-0.0761530275254016,0.939651935825541,0.996863708343732,-5.05573373132271,FALSE,FALSE,FALSE,"AP1G1",FALSE
"SERPING1",0.0396366208171275,11.1855611892379,0.0760934559846857,0.939699050563279,0.996863708343732,-5.05573653092575,FALSE,FALSE,FALSE,"SERPING1",FALSE
"ACIN1",-0.0208037558956479,8.84133879653898,-0.0758899244567205,0.939860023950972,0.996863708343732,-5.05574607949781,FALSE,FALSE,FALSE,"ACIN1",FALSE
"NRF1",0.00986022380201585,6.97985690443679,0.0750642392850523,0.940513085603913,0.996863708343732,-5.05578455385034,FALSE,FALSE,FALSE,"NRF1",FALSE
"TSPAN4",0.0243422873210917,8.83312192852637,0.0750471266846033,0.940526620964039,0.996863708343732,-5.0557853467938,FALSE,FALSE,FALSE,"TSPAN4",FALSE
"PRPF4B",0.0306051280462125,9.51627231574191,0.0748430461281782,0.940688041624441,0.996863708343732,-5.05579478930837,FALSE,FALSE,FALSE,"PRPF4B",FALSE
"SRPRB",0.0180208037330078,9.03315258991344,0.0748220787989952,0.940704626199532,0.996863708343732,-5.05579575798058,FALSE,FALSE,FALSE,"SRPRB",FALSE
"CDK5RAP1",0.0192751793639063,9.05508505604794,0.0744291003885815,0.941015466125853,0.996863708343732,-5.0558138630424,FALSE,FALSE,FALSE,"CDK5RAP1",FALSE
"PPP1R12A",0.0258991282072031,8.58377144697113,0.0742002390753537,0.941196496222152,0.996863708343732,-5.05582436308689,FALSE,FALSE,FALSE,"PPP1R12A",FALSE
