"Gene","log2FoldChange","pvalue","padj"
"SH2D5",0.0337341697644482,0.960827515317227,0.999975617694874
"HP1BP3",0.244909392143389,0.306895350209197,0.999975617694874
"EIF4G3",-0.022362194840083,0.935383909691702,0.999975617694874
"RPS15AP6",-0.187705042300713,0.647668483181773,0.999975617694874
"ENSG00000236073",0.164664236550023,0.716024648105311,0.999975617694874
"ECE1",-0.357626082868081,0.296383940550744,0.999975617694874
"ENSG00000231105",-0.16973407938126,0.710221651933684,0.999975617694874
"NBPF2P",-0.20834067502458,0.667953610432702,0.999975617694874
"NBPF3",-0.0590280043474058,0.868973390349692,0.999975617694874
"ALPL",-1.09235750863764,0.0737579569448895,0.999975617694874
"RAP1GAP",-0.46720640594478,0.363341665969499,0.999975617694874
"USP48",0.19867835891624,0.456702943054144,0.999975617694874
"LDLRAD2",-0.162230200300509,0.681710194751021,0.999975617694874
"HSPG2",0.232977238429503,0.433130628853938,0.999975617694874
"LINC00339",0.24354863759534,0.396538065654365,0.999975617694874
"CDC42",-0.31502268125709,0.350276832163469,0.999975617694874
"CDC42-IT1",-0.0727437541329516,0.865296748234537,0.999975617694874
"ENSG00000271840",-0.167020173451595,0.696726057941066,0.999975617694874
"WNT4",0.00257487874606504,0.996837839584656,0.999975617694874
"ZBTB40",0.150022074919749,0.569355530674219,0.999975617694874
"ZBTB40-IT1",-0.144965909417534,0.675515755563926,0.999975617694874
"C1QA",0.406924499109667,0.359761672480648,0.999975617694874
"C1QC",0.230882552841969,0.554405769166706,0.999975617694874
"C1QB",0.539656911769753,0.209601453407939,0.999975617694874
"EPHB2",-0.0669637648410005,0.860756644733194,0.999975617694874
"KDM1A",0.032561103153074,0.882333983719579,0.999975617694874
"LUZP1",-0.00518197068531466,0.970539632300784,0.999975617694874
"HTR1D",-0.142880208923668,0.820595525378027,0.999975617694874
"LINC01355",-0.00160380513610978,0.996329455635315,0.999975617694874
"HNRNPR",0.0430729076936425,0.864888703303687,0.999975617694874
"ZNF436",-0.225831643945505,0.473274002419801,0.999975617694874
"ZNF436-AS1",-0.0756962707879541,0.859583070159077,0.999975617694874
"ENSG00000271420",-0.243118317335645,0.680068558809646,0.999975617694874
"TCEA3",-0.209590631091698,0.577241276491974,0.999975617694874
"ASAP3",-0.0843891461843162,0.73551503867709,0.999975617694874
"E2F2",0.466760400393498,0.275144641995367,0.999975617694874
"ID3",-0.172578734341724,0.633631817908205,0.999975617694874
"RPL11",-0.165153136966847,0.588908989682408,0.999975617694874
